name,link,size,file_type,entire_folder_path
BSA_Finwizz_Krazybee.pdf,https://drive.google.com/file/d/1M3LD0UvQHUyLvzGiG2fSkSmz_SlTXw5S/view?usp=drive_link,2289101,application/pdf,Revised
DSA Agreement_LAP_Offline_Manasa R R_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1IVQX1SwnkWaAtwHc3GyldpxF1wYzvenK/view?usp=drive_link,1778786,application/pdf,Revised
Business Sourcing Agreement_LAP_Offline DSA_Yash Financial Services_KBNBFC_Signed.pdf,https://drive.google.com/file/d/11zVBzey45spAuqbugZ5mkbxtb08KpsA0/view?usp=drive_link,2559480,application/pdf,Revised
DSA Agreement_LAP_Offline_Prabhu Dilli_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1uwv7qQMwqtP11Hoai-CGmR9c4QYxUEU2/view?usp=drive_link,1826255,application/pdf,Revised
Lead Gen Agreement_LAP_Avilala Consulting_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1SlzsOp75Yq1arLNslE4vHw2iIMnj_jM1/view?usp=drive_link,2799325,application/pdf,Revised
Addendum 5 Akshay R Talewar.pdf,https://drive.google.com/file/d/1NlzOPUzfaZKqloP5wGoLXrereRNgDuaD/view?usp=drive_link,1108695,application/pdf,Revised
CRIF Termination Letter.pdf,https://drive.google.com/file/d/1aqoRHLjqltZQ5YUk45fKux_mKKvQqSCi/view?usp=drive_link,60011,application/pdf,Revised
Addendum 1_DC Power_Finnovation.pdf,https://drive.google.com/file/d/1OKEhY93Ac_Uaunb1LUiPBORBm_XSMqeP/view?usp=drive_link,321444,application/pdf,Revised
MSA_Shree Raghvendra Financial_Finnovation.pdf,https://drive.google.com/file/d/1ovQakMc2JnnSVlZB0AFWDGmg96l1VUe1/view?usp=drive_link,3773175,application/pdf,Revised
Addendum 3_SG Associates_Finnovation.pdf,https://drive.google.com/file/d/1g-ymRFnNiZeDfXZmmtaPosbs5ZoMMrOY/view?usp=drive_link,231829,application/pdf,Revised
Service Agreement_K Pravinchandra_Krazybee.pdf,https://drive.google.com/file/d/1y-nLX_PMDGxavpOxUsdqnhPbo8Ysxkd1/view?usp=drive_link,5117900,application/pdf,Revised
DSA_P Mohan_Krazybee.pdf,https://drive.google.com/file/d/1-thaHh5QX9hvw_3ymGtGLCTddIuc9dFV/view?usp=drive_link,14067708,application/pdf,Revised
DSA_M Abdul Raheem_Krazybee.pdf,https://drive.google.com/file/d/1F52WYob3A1UbXDac0h8nDc7BiXJGE2ge/view?usp=drive_link,13595087,application/pdf,Revised
DSA_Gopi T_Krazybee.pdf,https://drive.google.com/file/d/1po1SRiwNJ-ZrIvhZICkO9uFgCwGHTzB2/view?usp=drive_link,13908842,application/pdf,Revised
